route_id,pre_fuel_cost,pre_ebitda,post_fuel_cost,post_ebitda,fuel_driven_loss,total_ebitda_decline,structural_component
1,10670399.333333334,-5186716.666666667,13606912.166666666,-8315292.666666667,-2936512.833333332,-3128576.0,-192063.1666666679
2,1611648.6666666667,1341392.1666666667,2044153.6666666667,867289.5,-432505.0,-474102.66666666674,-41597.666666666744
3,18383258.666666668,-7071094.166666667,23458338.5,-12590606.666666666,-5075079.833333332,-5519512.499999999,-444432.666666667
4,4251830.333333333,-74013.33333333333,5214588.833333333,-1436117.8333333333,-962758.5,-1362104.5,-399346.0
5,3515947.6666666665,-1282144.5,4439984.333333333,-1808926.3333333333,-924036.6666666665,-526781.8333333333,397254.83333333326
6,15330012.166666666,-7075781.5,19460728.166666668,-10178755.666666666,-4130716.000000002,-3102974.166666666,1027741.8333333358
7,6068881.166666667,2640040.5,7479092.0,480416.1666666667,-1410210.833333333,-2159624.3333333335,-749413.5000000005
8,15025497.5,5627263.5,18426273.333333332,1154241.6666666667,-3400775.833333332,-4473021.833333333,-1072246.000000001
9,11302867.166666666,-6032852.0,13305294.0,-8093208.166666667,-2002426.833333334,-2060356.166666667,-57929.33333333302
10,9031811.0,-1777321.6666666667,11089127.833333334,-4284435.333333333,-2057316.833333334,-2507113.666666666,-449796.8333333321
11,9972530.0,-2922236.1666666665,12225660.833333334,-5131640.166666667,-2253130.833333334,-2209404.0000000005,43726.83333333349
12,8865653.0,-180572.83333333334,10653043.833333334,-2608668.5,-1787390.833333334,-2428095.6666666665,-640704.8333333326
13,15742756.5,-4869964.5,19877800.833333332,-9518222.0,-4135044.333333332,-4648257.5,-513213.1666666679
14,3680616.0,358356.0,4720766.333333333,-749264.8333333334,-1040150.333333333,-1107620.8333333335,-67470.50000000047
15,9965999.0,4974832.833333333,12875310.666666666,3947039.0,-2909311.666666666,-1027793.833333333,1881517.833333333
16,12802593.333333334,-2474568.1666666665,16187947.833333334,-7749981.666666667,-3385354.5,-5275413.5,-1890059.0
17,6510120.666666667,-83253.33333333333,8213067.333333333,-2311794.3333333335,-1702946.666666666,-2228541.0,-525594.333333334
18,5828970.166666667,277251.1666666667,7364076.333333333,-879009.0,-1535106.166666666,-1156260.1666666667,378845.9999999993
19,2611415.5,1234859.0,3129231.8333333335,751619.0,-517816.3333333335,-483240.0,34576.33333333349
20,12951087.166666666,4190826.5,16501594.666666666,3404486.5,-3550507.5,-786340.0,2764167.5
21,19157608.5,-7065246.333333333,23586490.333333332,-12053800.666666666,-4428881.833333332,-4988554.333333333,-559672.5000000009
22,3413929.3333333335,3567525.3333333335,4292665.166666667,1889782.5,-878735.8333333335,-1677742.8333333335,-799007.0
23,5880253.833333333,-37198.5,7277155.166666667,-1433380.1666666667,-1396901.333333334,-1396181.6666666667,719.6666666672099
24,5156588.833333333,6973005.5,6651025.0,6640132.666666667,-1494436.166666667,-332872.833333333,1161563.333333334
25,4470031.166666667,1279326.5,5523102.166666667,274935.6666666667,-1053071.0,-1004390.8333333333,48680.166666666744
26,13329185.0,-7828034.0,16401435.666666666,-11218845.833333334,-3072250.666666666,-3390811.833333334,-318561.1666666679
27,5859840.0,5404080.666666667,7146303.166666667,4925509.0,-1286463.166666667,-478571.666666667,807891.5
28,1846132.6666666667,2839628.6666666665,2286464.1666666665,3070598.1666666665,-440331.49999999977,230969.5,671300.9999999998
29,2403834.5,2511640.5,2979816.6666666665,2384896.1666666665,-575982.1666666665,-126744.33333333349,449237.833333333
30,1869077.5,1462102.1666666667,2492731.6666666665,604148.8333333334,-623654.1666666665,-857953.3333333334,-234299.16666666686
31,8641165.333333334,-4508884.5,10899539.333333334,-6816149.333333333,-2258374.0,-2307264.833333333,-48890.83333333302
32,6223979.5,2283795.5,7626892.833333333,1597869.1666666667,-1402913.333333333,-685926.3333333333,716986.9999999998
33,3293498.6666666665,2299424.1666666665,4063009.6666666665,1974400.8333333333,-769511.0,-325023.33333333326,444487.66666666674
34,2251615.8333333335,2738336.1666666665,2725521.6666666665,2398541.0,-473905.833333333,-339795.1666666665,134110.6666666665
35,2595284.1666666665,3180491.1666666665,3414623.1666666665,2120993.5,-819339.0,-1059497.6666666665,-240158.6666666665
36,7813076.5,2739457.0,9703457.166666666,534587.8333333334,-1890380.666666666,-2204869.1666666665,-314488.50000000047
37,4921362.0,1782978.5,6331683.833333333,220258.33333333334,-1410321.833333333,-1562720.1666666667,-152398.33333333372
38,2845456.8333333335,2888009.5,3585771.8333333335,1451741.6666666667,-740315.0,-1436267.8333333333,-695952.8333333333
39,7862841.0,683316.8333333334,10071261.0,-1461186.0,-2208420.0,-2144502.8333333335,63917.16666666651
40,4419803.5,-1414360.5,5477391.166666667,-2553527.0,-1057587.666666667,-1139166.5,-81578.83333333302
41,8471879.333333334,2627582.5,10753794.0,1253421.3333333333,-2281914.666666666,-1374161.1666666667,907753.4999999993
42,11683457.833333334,-2911735.3333333335,14519079.833333334,-5963766.666666667,-2835622.0,-3052031.3333333335,-216409.3333333335
43,14690975.5,8483581.5,18898505.5,6252563.166666667,-4207530.0,-2231018.333333333,1976511.666666667
44,4345311.666666667,2044281.3333333333,5570727.333333333,1082727.3333333333,-1225415.666666666,-961554.0,263861.66666666605
45,6632491.166666667,-1772027.8333333333,8499655.0,-3988529.3333333335,-1867163.833333333,-2216501.5,-349337.666666667
46,4282090.833333333,-1638427.0,5223408.5,-2674645.1666666665,-941317.666666667,-1036218.1666666665,-94900.49999999953
47,4269763.166666667,1246031.5,5466437.833333333,-223559.5,-1196674.666666666,-1469591.0,-272916.33333333395
48,6279817.333333333,3789372.0,7837927.0,1872245.3333333333,-1558109.666666667,-1917126.6666666667,-359016.99999999977
