series_id,genre,episode_number,pacing_score,cognitive_load_score,runtime_min,cliffhanger_ending,new_character_introduced,recap_provided,avg_watch_pct,viewers_start_of_episode,viewers_completed_episode,dropoff_rate,dropoff_flag,segment,pc1,pc2
1,SciFi,1,5.08,4.68,34.1,True,False,False,0.726,716062,600540,0.1613,0,3,-0.8628455696276104,-0.9782012158568708
1,SciFi,2,7.07,5.69,34.6,False,False,False,0.745,600540,545762,0.0912,0,3,-0.6495784890433184,0.3730591010308563
1,SciFi,3,4.44,2.18,40.1,False,True,True,0.778,545762,515350,0.0557,0,1,0.41136815170114177,-2.105465970507961
1,SciFi,4,5.64,5.41,42.9,False,False,True,0.623,515350,398054,0.2276,1,1,-0.7431558080709432,-0.9221100550324132
1,SciFi,5,8.2,4.05,41.7,False,True,True,0.753,398053,334039,0.1608,0,1,0.6028792843799251,0.23596523027572766
1,SciFi,6,4.54,5.64,52.9,True,False,False,0.723,334039,211427,0.3671,1,1,0.20838892891537464,-1.228432499667579
1,SciFi,7,7.72,3.34,42.6,True,True,False,0.792,211427,190298,0.0999,0,1,0.9555436647240523,-0.137781642757205
1,SciFi,8,8.8,4.28,43.6,False,True,False,0.73,190298,169109,0.1113,0,1,0.6944683467347489,0.49897067672873946
2,Crime,1,4.38,4.07,47.2,False,False,True,0.951,873619,743352,0.1491,0,0,1.1969344109844704,-1.05932974503907
2,Crime,2,5.98,4.84,40.0,True,False,False,0.842,743352,673604,0.0938,0,3,0.23594599126942759,-0.2389863564145946
2,Crime,3,6.18,3.49,41.9,True,True,True,0.797,673604,613154,0.0897,0,1,0.5948594305858089,-0.7897499203125304
2,Crime,4,5.96,7.39,42.0,True,False,True,0.537,613154,519625,0.1525,0,2,-1.6902113111431383,-0.3217677142067031
2,Crime,5,6.01,3.88,43.3,False,False,False,0.765,519624,412564,0.206,1,1,0.419307865746876,-0.8555518667965037
2,Crime,6,6.22,5.13,47.6,True,False,True,0.804,412564,386984,0.062,0,0,0.6170245737983757,-0.26974013942470204
2,Crime,7,6.92,3.96,49.8,True,False,False,0.786,386984,372487,0.0375,0,1,1.1631179143819335,-0.4417001715542008
2,Crime,8,4.69,6.15,25.0,True,False,False,0.699,372487,296720,0.2034,1,3,-2.169601301061975,-0.5732082681366546
3,Thriller,1,8.81,5.38,39.8,False,False,False,0.735,444472,351260,0.2097,1,2,0.1183955684954357,0.9713291463554657
3,Thriller,2,5.23,4.37,31.8,True,True,False,0.802,351260,271058,0.2283,1,3,-0.585799881136983,-0.7432351018811204
3,Thriller,3,5.98,4.49,42.1,True,True,True,0.703,271058,175937,0.3509,1,1,-0.126785970551783,-0.82492603633892
3,Thriller,4,5.43,3.6,44.7,False,False,False,0.664,175937,129927,0.2615,1,1,0.04501668134644201,-1.5639165371614285
3,Thriller,5,7.68,5.46,42.6,True,True,False,0.723,129927,92148,0.2908,1,2,0.04803459763629475,0.37746280622871237
3,Thriller,6,4.55,7.9,37.9,False,False,False,0.739,92148,34089,0.6301,1,2,-1.5073915381110392,-0.12211975990799337
3,Thriller,7,6.02,5.23,42.2,True,True,False,0.732,34089,26477,0.2233,1,1,-0.187991617418748,-0.4581495195895749
3,Thriller,8,8.02,7.24,40.9,True,False,False,0.911,26477,20439,0.228,1,2,0.32592086317366964,1.771900759303182
4,Drama,1,7.88,6.39,49.0,False,False,True,0.597,236827,204172,0.1379,0,2,-0.2436663731757106,0.3033109136983333
4,Drama,2,4.88,5.48,48.7,True,False,False,0.805,204172,180407,0.1164,0,0,0.35907958062639217,-0.7993690300041315
4,Drama,3,6.56,3.95,29.9,False,False,True,0.861,180407,170838,0.053,0,3,-0.10328574480315199,-0.04506767330678968
4,Drama,4,7.15,3.72,36.7,False,False,False,0.646,170838,149247,0.1264,0,1,-0.36662212817772416,-0.6221786138533304
4,Drama,5,7.04,9.15,30.9,False,False,True,0.566,149247,107233,0.2815,1,2,-2.707438623882831,1.0903276299001075
4,Drama,6,7.69,5.35,42.6,False,False,True,0.536,107233,100066,0.0668,0,1,-0.7570377119255027,-0.23064551305076975
4,Drama,7,3.35,1.0,37.8,True,False,False,0.687,100066,92488,0.0757,0,1,-0.04829944702335423,-3.2789182317719177
4,Drama,8,6.75,5.59,41.6,True,True,False,0.826,92488,85288,0.0778,0,0,0.2224436712111442,0.3144778366726542
5,Romance,1,4.47,5.25,41.9,False,True,False,0.744,233457,125197,0.4637,1,1,-0.45203207028355125,-1.1459863515850721
5,Romance,2,7.11,1.0,44.0,False,False,True,0.768,125197,117969,0.0577,0,1,1.4948157484088826,-1.348989433566029
5,Romance,3,8.4,6.1,42.0,True,False,False,0.582,117969,87307,0.2599,1,2,-0.6740507759359121,0.5223552886248021
5,Romance,4,8.04,7.15,47.4,True,False,True,0.716,87307,62614,0.2828,1,2,-0.016334021799643897,1.039634193932408
5,Romance,5,8.92,6.5,41.5,True,True,False,0.801,62614,43995,0.2974,1,2,0.25369771394482044,1.5913032325688323
5,Romance,6,5.95,3.5,41.5,False,False,True,0.773,43995,37561,0.1462,0,1,0.4107693694313515,-0.9624039866816007
5,Romance,7,3.95,5.08,35.2,False,False,True,0.635,37561,22216,0.4085,1,3,-1.5076522393730667,-1.6728694048594652
5,Romance,8,6.0,4.42,43.5,False,True,False,1.0,22216,17129,0.229,1,0,1.3349664120230729,0.04783825931506578
6,Romance,1,7.01,3.26,33.1,False,True,True,0.983,468190,417888,0.1074,0,3,0.9667489529284503,0.2457622580879376
6,Romance,2,7.39,9.01,40.4,True,True,True,0.805,417888,243186,0.4181,1,2,-0.7984086254414746,1.7784506899828099
6,Romance,3,8.04,3.8,35.2,True,False,True,0.826,243186,228035,0.0623,0,3,0.4673529263094486,0.4074387723370665
6,Romance,4,6.02,5.43,43.7,True,False,False,0.811,228035,166908,0.2681,1,0,0.2260373107788766,-0.17091174565402295
6,Romance,5,3.8,6.2,26.4,True,False,True,0.722,166908,130802,0.2163,1,3,-2.138276903131671,-0.9320858967564607
6,Romance,6,5.91,4.28,47.1,False,True,True,0.66,130802,104185,0.2035,1,1,0.1125306586639509,-1.1498178897740858
6,Romance,7,6.22,3.43,42.9,False,False,False,0.93,104185,92528,0.1119,0,0,1.292057980800517,-0.4006353358592087
6,Romance,8,7.32,5.26,38.9,False,False,True,0.895,92528,81220,0.1222,0,0,0.5211136539852523,0.727433029371884
