route_id,route,month,seats,weekly_frequency,block_hours,is_udan_route,atf_price_per_litre,load_factor,avg_fare,passengers,ticket_revenue,ancillary_revenue,udan_subsidy,fuel_cost,lease_crew_cost,airport_handling_cost,total_revenue,total_cost,ebitda,ebitda_margin
1,Jamshedpur-Bhubaneswar-R1,2024-04,78,10,1.41,False,88.09,0.733,2499.0,2475.0,6183558.0,521499.0,0.0,10221642.0,556149.0,1004178.0,6705057.0,11781969.0,-5076912.0,-0.7572
1,Jamshedpur-Bhubaneswar-R1,2024-05,78,10,1.41,False,94.33,0.729,2682.0,2462.0,6603427.0,705163.0,0.0,10945671.0,507699.0,1115589.0,7308590.0,12568959.0,-5260369.0,-0.7198
1,Jamshedpur-Bhubaneswar-R1,2024-06,78,10,1.41,False,89.12,0.778,2533.0,2627.0,6652461.0,950684.0,0.0,10341142.0,535336.0,1367837.0,7603145.0,12244315.0,-4641170.0,-0.6104
1,Jamshedpur-Bhubaneswar-R1,2024-07,78,10,1.41,False,91.54,0.699,2494.0,2362.0,5891161.0,689681.0,0.0,10621134.0,467872.0,872930.0,6580843.0,11961936.0,-5381094.0,-0.8177
1,Jamshedpur-Bhubaneswar-R1,2024-08,78,10,1.41,False,93.29,0.853,2487.0,2883.0,7170322.0,744284.0,0.0,10824892.0,538795.0,1064045.0,7914605.0,12427732.0,-4513126.0,-0.5702
1,Jamshedpur-Bhubaneswar-R1,2024-09,78,10,1.41,False,95.39,0.718,2432.0,2426.0,5899794.0,568684.0,0.0,11067915.0,603790.0,1044401.0,6468478.0,12716107.0,-6247629.0,-0.9659
1,Jamshedpur-Bhubaneswar-R1,2024-10,78,10,1.41,False,117.3,0.718,2602.0,2424.0,6305744.0,904345.0,0.0,13610928.0,542490.0,954184.0,7210089.0,15107603.0,-7897514.0,-1.0953
1,Jamshedpur-Bhubaneswar-R1,2024-11,78,10,1.41,False,119.28,0.726,2700.0,2451.0,6619125.0,904116.0,0.0,13839938.0,602713.0,1206871.0,7523241.0,15649522.0,-8126281.0,-1.0802
1,Jamshedpur-Bhubaneswar-R1,2024-12,78,10,1.41,False,118.64,0.647,2654.0,2184.0,5797256.0,453163.0,0.0,13766153.0,603484.0,1064979.0,6250419.0,15434615.0,-9184196.0,-1.4694
1,Jamshedpur-Bhubaneswar-R1,2025-01,78,10,1.41,False,115.88,0.695,2770.0,2346.0,6500434.0,737293.0,0.0,13445256.0,524355.0,798082.0,7237727.0,14767692.0,-7529965.0,-1.0404
