series_id,genre,episode_number,pacing_score,cognitive_load_score,runtime_min,cliffhanger_ending,new_character_introduced,recap_provided,avg_watch_pct,viewers_start_of_episode,viewers_completed_episode,dropoff_rate,dropoff_flag
1,SciFi,1,5.08,4.68,34.1,True,False,False,0.726,716062,600540,0.1613,0
1,SciFi,2,7.07,5.69,34.6,False,False,False,0.745,600540,545762,0.0912,0
1,SciFi,3,4.44,2.18,40.1,False,True,True,0.778,545762,515350,0.0557,0
1,SciFi,4,5.64,5.41,42.9,False,False,True,0.623,515350,398054,0.2276,1
1,SciFi,5,8.2,4.05,41.7,False,True,True,0.753,398053,334039,0.1608,0
1,SciFi,6,4.54,5.64,52.9,True,False,False,0.723,334039,211427,0.3671,1
1,SciFi,7,7.72,3.34,42.6,True,True,False,0.792,211427,190298,0.0999,0
1,SciFi,8,8.8,4.28,43.6,False,True,False,0.73,190298,169109,0.1113,0
2,Crime,1,4.38,4.07,47.2,False,False,True,0.951,873619,743352,0.1491,0
2,Crime,2,5.98,4.84,40.0,True,False,False,0.842,743352,673604,0.0938,0
2,Crime,3,6.18,3.49,41.9,True,True,True,0.797,673604,613154,0.0897,0
2,Crime,4,5.96,7.39,42.0,True,False,True,0.537,613154,519625,0.1525,0
2,Crime,5,6.01,3.88,43.3,False,False,False,0.765,519624,412564,0.206,1
2,Crime,6,6.22,5.13,47.6,True,False,True,0.804,412564,386984,0.062,0
2,Crime,7,6.92,3.96,49.8,True,False,False,0.786,386984,372487,0.0375,0
2,Crime,8,4.69,6.15,25.0,True,False,False,0.699,372487,296720,0.2034,1
3,Thriller,1,8.81,5.38,39.8,False,False,False,0.735,444472,351260,0.2097,1
3,Thriller,2,5.23,4.37,31.8,True,True,False,0.802,351260,271058,0.2283,1
3,Thriller,3,5.98,4.49,42.1,True,True,True,0.703,271058,175937,0.3509,1
3,Thriller,4,5.43,3.6,44.7,False,False,False,0.664,175937,129927,0.2615,1
3,Thriller,5,7.68,5.46,42.6,True,True,False,0.723,129927,92148,0.2908,1
3,Thriller,6,4.55,7.9,37.9,False,False,False,0.739,92148,34089,0.6301,1
3,Thriller,7,6.02,5.23,42.2,True,True,False,0.732,34089,26477,0.2233,1
3,Thriller,8,8.02,7.24,40.9,True,False,False,0.911,26477,20439,0.228,1
4,Drama,1,7.88,6.39,49.0,False,False,True,0.597,236827,204172,0.1379,0
4,Drama,2,4.88,5.48,48.7,True,False,False,0.805,204172,180407,0.1164,0
4,Drama,3,6.56,3.95,29.9,False,False,True,0.861,180407,170838,0.053,0
4,Drama,4,7.15,3.72,36.7,False,False,False,0.646,170838,149247,0.1264,0
4,Drama,5,7.04,9.15,30.9,False,False,True,0.566,149247,107233,0.2815,1
4,Drama,6,7.69,5.35,42.6,False,False,True,0.536,107233,100066,0.0668,0
4,Drama,7,3.35,1.0,37.8,True,False,False,0.687,100066,92488,0.0757,0
4,Drama,8,6.75,5.59,41.6,True,True,False,0.826,92488,85288,0.0778,0
5,Romance,1,4.47,5.25,41.9,False,True,False,0.744,233457,125197,0.4637,1
5,Romance,2,7.11,1.0,44.0,False,False,True,0.768,125197,117969,0.0577,0
5,Romance,3,8.4,6.1,42.0,True,False,False,0.582,117969,87307,0.2599,1
5,Romance,4,8.04,7.15,47.4,True,False,True,0.716,87307,62614,0.2828,1
5,Romance,5,8.92,6.5,41.5,True,True,False,0.801,62614,43995,0.2974,1
5,Romance,6,5.95,3.5,41.5,False,False,True,0.773,43995,37561,0.1462,0
5,Romance,7,3.95,5.08,35.2,False,False,True,0.635,37561,22216,0.4085,1
5,Romance,8,6.0,4.42,43.5,False,True,False,1.0,22216,17129,0.229,1
6,Romance,1,7.01,3.26,33.1,False,True,True,0.983,468190,417888,0.1074,0
6,Romance,2,7.39,9.01,40.4,True,True,True,0.805,417888,243186,0.4181,1
6,Romance,3,8.04,3.8,35.2,True,False,True,0.826,243186,228035,0.0623,0
6,Romance,4,6.02,5.43,43.7,True,False,False,0.811,228035,166908,0.2681,1
6,Romance,5,3.8,6.2,26.4,True,False,True,0.722,166908,130802,0.2163,1
6,Romance,6,5.91,4.28,47.1,False,True,True,0.66,130802,104185,0.2035,1
6,Romance,7,6.22,3.43,42.9,False,False,False,0.93,104185,92528,0.1119,0
6,Romance,8,7.32,5.26,38.9,False,False,True,0.895,92528,81220,0.1222,0
7,Drama,1,5.25,5.82,45.1,False,False,False,0.654,871650,730432,0.162,0
7,Drama,2,7.79,6.33,26.8,True,False,True,0.754,730432,683487,0.0643,0
7,Drama,3,4.7,10.0,40.6,False,True,False,0.599,683487,319880,0.532,1
7,Drama,4,8.07,3.25,50.6,False,False,True,0.685,319880,291782,0.0878,0
